date of status	status	кол-во листов	#	ОФ	НФ	/	Место хранения		Код СС	Наименование документа	полнота	подлин.	способ воспроизв.	дата документа	примечания	дата сост. Архива	Автор: не Котс А.Ф.
1/24/2014	scanned		1011	12497		502	921	eh-921	4.1.А	Котс А.Ф. Письмо Дине Соломоновне Волкац по поводу приобретения шкур собак .	полная	копия	машинопись	1948 июля 10			
1/24/2014	scanned		1010		2116	65	921	eh-921	4.1.А	"Волкац Дина Соломоновна . Письмо Котсу по поводу возможности нахождения , интересующих его пород собак ."	полная	оригинал	рукопись	1948 июля 5			
1/24/2014	scanned		1009		2116	66	921	eh-921	4.1.А	Волкац Дина Соломоновна . Письмо Котсу по поводу посылаемых ему снимков собак .	полная	оригинал	рукопись	1948 июня 19			
1/24/2014	scanned		1008		2116	354	921	eh-921	4.1.A*	Волкац Дина Соломоновна . Письмо Котсу по поводу посылаемых ему снимков собак .	полная	оригинал	рукопись	1947 июля 3			
11/15/2014	scanned		1014		2116	234	922	eh-922	4.1.А*	"Воронина М., г. Рославль . Открытое письмо А.Ф.Котсу с предложением 2-х беличьих шкурок ."	полная	оригинал	рукопись	1936 января 14			
11/15/2014	scanned		1015		2116	390	922	eh-922	4.1.А	"Воронина М., г. Рославль . Открытое письмо А.Ф.Котсу с уведомлением об отправке ему шкурки со склада ."	полная	оригинал	рукопись	1936 января 27			
11/15/2014	scanned		1016	10141		369	923	eh-923	4.1.А*	Воротилов Т. Письмо А.Ф.Котсу ~ ответ на его просьбу прислать для изготовления чучел разные виды черепов зверей фауны Сев. Кавказа .	полная	оригинал	рукопись	1934 января 7			
11/15/2014	scanned		1017	12497		501	924	eh-924	4.1.А*	"Котс А.Ф. Письмо на имя Ворошилова Климента Ефремовича - Маршала Сов.Союза с уведомлением ""о личном препровождении ГДМ одного пакета (письма) с несколькими приложениями"" - документами по истории и деят-ти музея ."	полная	копия	машинопись	[2 пол. 1930-х-1950-е]			
7/21/2013	scanned		1020	12497		500	925	eh-925	4.1.А	"Котс А.Ф. Письмо А.А.Гавриленко по вопросу обмена коллекциями (колл.""выродков"",материалы по эмбриологии,черепа,шкуры) ."	полная	копия	машинопись	[1933 июнь]	"Имена (В.Ф.Дельвиг, проф. Ю.А.Белоголовый)"		
7/21/2013	scanned		1019		2116	84	925	eh-925	4.1.А	"Гавриленко Анатолий Александрович - проф., зоологическая лаборатория ЛГУ . Письмо Котсу по вопросу обмена коллекциями ."	неполная	оригинал	рукопись	1933 июня 3	"нет списка ""выродков"" указанного в письме"		
7/21/2013	scanned		1022		2116	85	925	eh-925	4.1.А	"Гавриленко Анатолий Александрович - проф., зоологическая лаборатория ЛГУ . Письмо Котсу по вопросу обмена коллекциями ."	полная	оригинал	рукопись	1933 сентября 15	Имя (В.Ф.Дельвиг)		
7/21/2013	scanned		1018		2116	86	925	eh-925	4.1.А*	"Гавриленко Анатолий Александрович - проф., зоологическая лаборатория ЛГУ . Письмо Котсу по вопросу обмена коллекциями ."	полная	оригинал	рукопись	1932 ноября 21	Имя (Флёров)		
7/21/2013	scanned		1023		2116	89	925	eh-925	4.1.А	"Гавриленко Анатолий Александрович - проф., зоологическая лаборатория ЛГУ . Письмо Котсу по вопросу обмена коллекциями ."	полная	оригинал	рукопись	1933 сентября 15			
7/21/2013	scanned		1021		2116	163	925	eh-925	4.1.А	"Гавриленко Анатолий Александрович - проф., зоологическая лаборатория ЛГУ . Письмо Котсу с уведомлением о том , в каких материалах по систематике нуждается зоол. лаборатория ЛГУ ."	полная	оригинал	рукопись	1933 июля 2			
11/15/2014	scanned		1024		2116	94	926	nvf-2116-94	4.1.А*	"Галликас (дама) - директор Приморского Обл. музея, г. Владивосток . Письмо Котсу по вопросу шкурок для ГДМ ."	полная	оригинал	машинопись	1934 марта 22			
11/15/2014	scanned		1025	12497		499	927	of-12497-499	4.1.А*	"Голубцов М. - учитель (п.т.о.Предгорное, Семипалатинский округ, Убинский р-н). Письмо Котсу- рассказ об утке , кот. стала селезнем; с просьбой дать по этому поводу объяснение .+ 1 фото утки (ч/б)."	полная	оригинал	рукопись	[1929 сент. 29]	"фото 8,5 х 7 см."		
11/15/2014	scanned		1026	12497		498	928	of-12497-498	4.1.А*	Котс А.Ф. Письмо Гончарову Василию Александровичу с уведомлением о посылке ему II - го тома очерка Котса об истории и работах музея с альбомом фотографий .	полная	оригинал	машинопись	1955 марта 2			
12/14/2014	scanned	1 л.(1конв.)	1027	10141		232	929	of-10141-232	4.1.А*	Горлов Д.В. Письмо Котсу о своей деятельности : открытие памятника И.А.Крылову в г.Калининграде на основании его проекта; вручение медали на Брюссельской выставке и др.	полная	оригинал	рукопись	б/г			
11/15/2014	scanned	1 л.	1029	10141		207	930	of-10141-207	4.1.А	"Котс А.Ф. Письмо Горшкову Осипу Степановичу-дир-ру Центр.Генетической лаборатории им.Мичурина с уведомл. о повторной командировки В.М.Евстафьева в г.Мичуринск ""для изучения на месте автобиограф-х материалов, зарисовок и изготовл. этюдов""."	полная	копия	машинопись	б/г			
12/14/2014	scanned		1028	12497		69	930	of-12497-69	4.1.А*	"Котс А.Ф. Письмо Горшкову О.С.-дир-ру Мичуринского НИИ с просьбой ""оказать содействие худ-ку В.М.Евстафьеву, командированному музеем в г.Мичуринск с целью зарисовок с натуры ряда объектов, связанных с жизнью и деят-тью И.В.Мичурина""."	полная	оригинал	машинопись	б/г			
12/14/2014	scanned		1030		2116	160	931	nvf-2116-160	4.1.А*	"Горячкин Дмитрий Алексеевич (г.Чита) . Письмо Котсу с уведомлением о посылке ""одной парочки тетерок (самца и самки)""; извинения за медленное выполнение обещанного заказа ."	полная	оригинал	рукопись	1932 февраля 2			
10/30/2012	scanned	2 лл.	216	12430		45	206	of-12430-45	1.2	"Удостоверение, от имени Губернского Комиссара по упр. Моск. губернии , подтверждающее хранение научных коллекций (звериные и птичьи шкурки) в помещении Музея эволюционной истории и прилегающих к нему 3-х комнатах МВЖК ."	полная	оригинал	машинопись	1918 январь		март 1998 г.	
12/14/2014	scanned		1033	10141		358	933	eh-933	4.1.А	"Даценко [Дяценко или Дощенко] Василий Иванович, Катон Карагай, Семипалат. обл, Восточный Казахстан . Письмо А.Ф.Котсу по поводу условий приобретения ГДмузеем черепов и шкурок зверей Алтайской фауны .+ Перечень млекопитающих Юж. Алтая ."	полная	оригинал	рукопись	1933 июля 23			
12/14/2014	scanned		1032		2116	159	933	eh-933	4.1.А*	"Даценко [Дяценко или Дощенко] Василий Иванович - с.Катон Карагай Семипалатинского округа. Письмо Котсу с просьбой написать какие требуются виды коллекций для музея (колл. птиц, млекопит.; паразиты с них, знтомологич. сборы и др.)."	полная	оригинал	рукопись	1930 июня 2			
12/14/2014	scanned		1034		2116	216	933	eh-933	4.1.А	"Даценко [Дяценко или Дощенко] Василий Иванович, Катон Карагай, Семипалат. обл, Восточный Казахстан . Письмо А.Ф.Котсу по поводу цен на черепа и шкурки зверей Алтайской фауны, добытых им для ГДМ ."	полная	оригинал	рукопись	1933 октября 13			
7/13/2013	scanned	3 лл.+ 2 лл.	1053	10141		282	934	eh-934	4.1.А	Котс А.Ф. Письмо Г.П.Дементьеву с уведомлением о возврате фотокарточки Сергея Александровича (?); о трудностях по вопросу строительства нового здания для музея;о своем предстоящем выступлении на Всес. Орнитологическом Конгрессе.	полная	оригинал	машинопись	1958 октября 21			
7/13/2013	scanned	1 л.	1054	10141		283	934	eh-934	4.1.А	Котс А.Ф. Письмо Г.П.Дементьеву с поздравлениями к 60-летию .	полная	копия	машинопись	1958 декабря 24			
7/13/2013	scanned		1035	10141		435	934	eh-934	4.1.А*	"Дементьев Георгий Петрович - проф. МГУ , доктор биол. наук, зав. орнитол-им отделом Зоомузея МГУ. Письмо А.Ф.Котсу о самцах взрослых белых кречетов ."	полная	оригинал	рукопись	1939 июля 3		октябрь 1998 г.	
7/13/2013	scanned	20	1036	10621		10	934	eh-934	4.1.А	"Дементьев Георгий Петрович - проф. МГУ , доктор биол. наук, зав. орнитол-им отделом Зоомузея МГУ. Письма А.Ф.Котсу личного характера .+ Доверенность на право пользования личной библиотекой ."	полная	оригинал	рукопись+машинопись	1940-1961	7 писем + доверенность		
7/13/2013	scanned		1046	12497		487	934	eh-934	4.1.А	"Котс А.Ф. Письмо Г.П.Дементьеву с благодарностью за ""презентованный Котсу том ""Птицы Союза"" и поздравлениями ""с близким завершением этого многотомного труда""."	полная	оригинал	машинопись	1954 июля 6		10	
7/13/2013	scanned		1057	12497		488	934	eh-934	4.1.А	Котс А.Ф. Письмо Г.П.Дементьеву с благодарностью за просмотр и редактирование двух работ Котса .	полная	оригинал	машинопись	1959 февраля 19			
7/13/2013	scanned		1049	12497		489	934	eh-934	4.1.А	"Котс А.Ф. Письмо Г.П.Дементьеву с новостями о постройке музейного здания; с просьбой помочь ""в приобретении серии засоленных, свеже-снятых шкурок с главнейших обитателей ""Птичьих базаров"" нашего Севера""."	полная	оригинал	машинопись	1955 июня 30	Имя (Фурцева)		
7/13/2013	scanned		1063	12497		490	934	eh-934	4.1.А	"Котс А.Ф. Письмо Г.П.Дементьеву с просьбой сообщить адреса ""знакомых зоологов-коллекторов на Кавказе и в Ср.Азии, на предмет приобретения у них нескольких свеже-добытых и свеже- засоленных шкурок местных самцов-фазанов""."	полная	копия	машинопись	б/г	"в письме перечислены виды ""нужных"" музею фазанов"		
7/13/2013	scanned		1062	12497		491	934	eh-934	4.1.А	"Котс А.Ф. Письмо Г.П.Дементьеву с уведомлением о посылке материалов ""к суждению о ДМ, могущие послужить некоторой базой для составления бумаги с поддержкой ходатайства о постройке здания""; о необходимости и важности сохранения ДМ."	полная	копия	машинопись	б/г		7	
7/13/2013	scanned		1047	12497		492	934	eh-934	4.1.А	"Котс А.Ф. Письмо Г.П.Дементьеву с уведомлением о посылке отзыва на труд Георгия Петровича ""Птицы Советского Союза""."	полная	оригинал	машинопись	1954 октября 5			
7/13/2013	scanned		1048	12497		493	934	eh-934	4.1.А	Котс А.Ф. Письмо Г.П.Дементьеву с уведомлением об отправке ему текста статьи Котса .	полная	копия	машинопись	1954 октября 16			
7/13/2013	scanned		1044	12497		494	934	eh-934	4.1.А	Котс А.Ф. Письмо Г.П.Дементьеву с уведомлением об отправке статьи Котса для сборника и о намечающемся выступлении в Институте Музейно-Краеведческой работы .	полная	копия	машинопись	1948 июня 17			
7/13/2013	scanned		1038	12497		496	934	eh-934	4.1.А	"Дементьев Георгий Петрович - проф. МГУ , доктор биол. наук, зав. орнитол-им отделом Зоомузея МГУ. Письмо А.Ф.Котсу из Ашхабада - описание ""проделанной работы"" в качестве полевого натуралиста ."	полная	оригинал	рукопись (чернила)	1942 февраля 8	"Имена (Е.С.Птушенко,А.Н.Формозов)"		
7/13/2013	scanned		1045	12497		937	934	eh-934	4.1.А	"Дементьев Георгий Петрович - проф. МГУ , доктор биол. наук , зав. орнитол-им отделом Зоомузея МГУ . Письмо А.Ф.Котсу по поводу настоящих ""колхидских"" фазанов и адреса тех, кто может помочь с поиском нужных экспонатов ."	полная	оригинал	машинопись	1952 ноября 14			
7/13/2013	scanned		1060		2116	13	934	eh-934	4.1.А	"Дементьев Георгий Петрович - проф. МГУ, доктор биол. наук . Письмо А.Ф.Котсу с просьбой предоставить для напечатания в орнит-ом сборнике текст статьи Котса о Ф.К. Лоренце; а также передать Дементьеву его ""соколов"" и книгу о зверях Б..."	полная	оригинал	рукопись	1960 февраля 8		ноябрь 1998 г.	
7/13/2013	scanned		1055		2116	128	934	eh-934	4.1.А	"Дементьев Георгий Петрович - проф. МГУ , доктор биол. наук , зав. орнитолог-им отделом Зоомузея МГУ . Письмо А.Ф.Котсу личного характера , (с благодарностью в адрес Котса) ."	полная	оригинал	рукопись	1958 декабря 25		ноябрь 1998 г.	
7/13/2013	scanned		1052		2116	222	934	eh-934	4.1.А	"Дементьев Георгий Петрович - проф. МГУ , доктор биол. наук , зав. орнитолог-им отделом Зоомузея МГУ . Письмо А.Ф.Котсу [на латыни] ."	полная	оригинал	рукопись	1957 декабрь		ноябрь 1998 г.	
7/13/2013	scanned		1050		2116	223	934	eh-934	4.1.А	"Дементьев Георгий Петрович - проф. МГУ , доктор биол. наук , зав. орнитолог-им отделом Зоомузея МГУ . Письмо А.Ф.Котсу о таксидермических работах и препараторах Зоологического музея МГУ и ГДМ ."	полная	оригинал	рукопись	1956 января 8		ноябрь 1998 г.	
7/13/2013	scanned		1051		2116	225	934	eh-934	4.1.А	"Дементьев Георгий Петрович - проф. МГУ , доктор биол. наук , зав. орнитолог-им отделом Зоомузея МГУ . Письмо А.Ф.Котсу и отзыв о Д.Я.Федулове ."	полная	оригинал	машинопись+рукоп.	1956 сент.8		ноябрь 1998 г.	
7/13/2013	scanned		1061		2116	233	934	eh-934	4.1.А	"Дементьев Георгий Петрович - проф. МГУ , доктор биол. наук  , зав. орнитолог-им отделом Зоомузея МГУ . Письмо А.Ф.Котсу по вопросу рассмотрения его статьи и приведена библиография Дементьева (6 названий)."	полная	оригинал	рукопись	1963 января 25		ноябрь 1998 г.	
7/13/2013	scanned		1059		2116	366	934	eh-934	4.1.А	"Дементьев Георгий Петрович - проф. МГУ , доктор биол. наук , зав. орнитолог-им отделом Зоомузея МГУ . Письмо А.Ф.Котсу с благодарностью за серию редких книг , присланных Дементьеву в подарок ."	полная	оригинал	машинопись	1959 ноября 24		ноябрь 1998 г.	
7/13/2013	scanned		1037		2116	370	934	eh-934	4.1.А	"Дементьев Георгий Петрович - проф. МГУ , доктор биол. наук, зав. орнитол-им отделом Зоомузея МГУ. Письмо А.Ф.Котсу личного характера , (написано перед отъездом) ."	полная	оригинал	рукопись	1941 окт.29	письмо на тетрадном листе	октябрь 1998 г.	
7/13/2013	scanned		1058		2116	479	934	eh-934	4.1.А	Котс А.Ф. Письмо Г.П.Дементьеву с извинениями от лица Котса за допущенное им малоуважительное суждение об охоте и охотниках и с соизволением презентовать Дементьеву ряд книг из собственной библиотеки .	полная	копия	машинопись	[1959]		ноябрь 1998 г.	
7/13/2013	scanned		1040		2116	592	934	eh-934	4.1.А	"Дементьев Георгий Петрович - проф. МГУ , доктор биол. наук, зав. орнитол-им отделом Зоомузея МГУ . Письмо А.Ф.Котсу с уведомлением о посылке рисунков Лоджа ."	полная	оригинал	рукопись	1946 мая 27		октябрь 1998 г.	
7/13/2013	scanned		1042		2116	593	934	eh-934	4.1.А	"Дементьев Георгий Петрович - проф. МГУ , доктор биол. наук , зав. орнитол-им отделом Зоомузея МГУ . Письмо А.Ф.Котсу по вопросу отзыва о Д.Я.Федулове ."	полная	оригинал	рукопись	1947 мая 19		октябрь 1998 г.	
7/13/2013	scanned		1041		2116	594	934	eh-934	4.1.А	"Дементьев Георгий Петрович - проф. МГУ , доктор биол. наук , зав. орнитол. отделом Зоомузея МГУ . Письмо А.Ф.Котсу с просьбой выдать Егоровой М.В. ""чучело его питомца"" ."	полная	оригинал	рукопись	1947 апреля 25		октябрь 1998 г.	
7/13/2013	scanned		1039		2116	595	934	eh-934	4.1.А	"Котс А.Ф. Письмо Г.П.Дементьеву - по поводу ходатайства, касающегося возвращения Дементьева в Москву из Ашхабада; рассказ о своей работе в Моск. госпиталях и др."	полная	копия	машинопись	[1942]			
7/13/2013	scanned		1056		2116	671	934	eh-934	4.1.А	"Дементьев Георгий Петрович - проф. МГУ , доктор биол. наук , зав. орнитолог-им отделом Зоомузея МГУ . Письмо А.Ф.Котсу по поводу замечаний к монографии ""Проблема вида на изменчивости тетеревиных птиц""."	полная	оригинал	рукопись	1959 февраля 3		ноябрь 1998 г.	
7/13/2013	scanned		1043		2116	706	934	eh-934	4.1.А	"Котс А.Ф. Письмо Г.П.Дементьеву с просьбой ""сдублировать присланный в свое время отзыв о Д.Я.Федулове"" ."	полная	копия	машинопись	1947 июля 4			
7/13/2013	scanned		1064		2116	709	934	eh-934	4.1.А	Котс А.Ф. Письмо Г.П.Дементьеву с уведомлением об отправке монтированного для него ястреба; поздравления с Новым годом .	полная	копия	машинопись	б/г			
1/31/2015	scanned		1065		2116	371	935	nvf-2116-371	4.1.А*	"Деш.... А. Записка Котсу - передача благодарности и ""хлеб-соль"" по просьбе курсисток Воспитательного дома , посетивших музей ."	полная	оригинал	рукопись	1919 ноября 19			
2/9/2014	scanned		1066	12497		486	936	of-12497-486	4.1.А*	"Котс А.Ф. Письмо Ольге Павловне Догадиной с просьбой ускорить переведение музею очередной партии кредитов ""на приобретение"" двух картин (конные портреты К.Ворошилова и С.Будёного)."	полная	копия	машинопись	1949 января 30			
2/9/2014	scanned	1 л.	1067	10141		271	937	of-10141-271	4.1.А*	"Котс А.Ф. Письмо академику Дубинину Николаю Петровичу с просьбой ""помочь раздобыть снимок Н.К.Кольцова в доревол-ые гг., для подготовленного к печати сборника некрологов""."	полная	копия	машинопись	1958 декабря 18			
1/31/2015	scanned		1069		2116	48	938	eh-938	4.1.А	"Дубов Иван Иванович - охотник . Письмо Котсу по поводу фотографий , интересующих его экземпляров птиц из коллекции охотника [Тре... Вл.Мих.] ."	полная	оригинал	рукопись	1959 сентября 26			
1/31/2015	scanned		1070		2116	239	938	eh-938	4.1.А	"Дубов Иван Иванович - охотник . Письмо Котсу по поводу фотографий , интересующих его экземпляров птиц из коллекции охотника [Тре... Вл.Мих.] ."	нет посл. лл.	оригинал	рукопись	[кон.1959]			
1/31/2015	scanned		1068		2116	240	938	eh-938	4.1.А*	"Дубов Иван Иванович - охотник . Письмо Котсу по вопросу продажи коллекции птиц [Тре.... Вл.Мих.], состоящую из различных помесей , гермофродитов и альбиносов ."	полная	оригинал	рукопись	1959 мая 28	Имя (проф. С.С.Туров)		
11/23/2013	scanned		1071	12497		482	939	eh-939	4.1.А*	"Котс А.Ф. Письмо Анне Владимировне Дуровой-Садовской - советы и рекомендации по поводу устройства двух музейных комнат ""Уголка Дурова"". /К ед.хр. прилагаются ксерокопии двух писем из переписки А.В.Дуровой-Садовской и Н.Н.Ладыгиной-Котс, [1961], 2 лл./."	полная	ориг.+копия	машинопись	1955 июля 13	"3 экз.+ 1л. ксерокипии (предоставл. руководством ""Уголка Дурова"")"		
11/23/2013	scanned		1072	12497		483	939	eh-939	4.1.А	"Котс А.Ф.""Суждение по поводу культмассового значения ""Дуровского уголка"" в заведовании Анны Владимировны Дуровой. [Отзыв об ""Уголке им. В.Л.Дурова"" в Мин-во Госконтроля СССР тов.Бубеленеву] ."	полная	копия	машинопись	б/г	"м.б. др. название ""Отзыв об ""Уголке им. В.Л.Дурова"" в Мин-во Госконтроля СССР"""		
11/29/2014	scanned		1075	12497		480	940	eh-940	4.1.А	"Котс А.Ф. Письмо Евстафьеву Виктору Михайловичу с выражением негодования по поводу написанных картин по Мичурину , с просьбой вернуть оставшуюся картину ."	полная	копия	машинопись	1952 мая 27			
11/29/2014	scanned		1074	12497		481	940	eh-940	4.1.А	Котс А.Ф. Письмо Евстафьеву Виктору Михайловичу с замечаниями по поводу написания фигуры Мичурина-мальчика на одной из картин и с просьбой исправить написанное .	полная	копия	машинопись	1952 мая 21			
11/29/2014	scanned		1073		2116	60	940	eh-940	4.1.А*	"Евстафьев В.М.- скульптор, художник, сотр. ГДМ. Письмо Котсу из г.Мичуринска - о своёй командировке в заповедник, и зарисовках , сделанных в Мичуринске ."	полная	оригинал	рукопись	1948 сентября 6			
2/9/2015	scanned		1076		2116	10	941	nvf-2116-10	4.1.А*	Елистратов Георгий Дмитриевич (Самарская губ.). Письмо Котсу личного характера .	полная	оригинал	рукопись	1926 октября 2			
10/30/2012	scanned		220	10141		622	210	of-10141-622	1.2	"""Доклад ГДМ на ""Заключение"" Комиссии по обследованию названного музея согласно Приказу Директора МГУ за ном. 186""."	полная	оригинал	машинопись	1934 апр.10		апрель 1998 г.	
10/30/2012	scanned	2 лл.	235	12430		54	225	of-12430-54	1.2	"""Докладная записка директора ГДМ проф. А.Ф. Котс"". (""..в разъяснение вопроса о мероприятиях , могущих наилучше обеспечить деятельность ГДМ.."")."	полная	копия	машинопись	[нач. 1950-х]	2 экз. в ОФ	апрель 1998 г.	
10/30/2012	scanned	2 лл.	239	12430		56	229	of-12430-56	1.2	"""Государственный Дарвиновский музей"". Очерк ."	полная	копия	машинопись	1955		апрель 1998 г.	
2/3/2013	scanned		1080		2116	1	943	nvf-2116-1	4.1.А*	Жандармов А.П. Открытое письмо А.Ф.Котсу из Батуми личного характера .	полная	оригинал	рукопись	1955 октября 9	2 почт.штампа		
2/9/2015	scanned		1081	12497		479	944	of-12497-479	4.1.А*	"Котс А.Ф. Письмо Оскару Александровичу Желиговскому - директору Музея Коневодства по поводу Арабской кобылы (""Розы Африки"") ."	полная	копия	машинопись	б/г			
2/9/2015	scanned		1083	12497		64	945	eh-945	4.1.А	"Жуков П.И. - препаратор . Мастерская по набивке чучел, птиц и зверей , Петровск . Письмо А.Ф.Котсу по вопросу выполнения заказа, сделанного Котсом (бородач, черный аист, дрофы, каравайка) ."	полная	оригинал	рукопись	1911 августа 13			
2/9/2015	scanned		1082	12497		65	945	eh-945	4.1.А*	"Жуков П.И. - препаратор . Мастерская по набивке чучел, птиц и зверей , Петровск . Письмо А.Ф.Котсу с предложением сотрудничества и ""выполнения всевозможных заказов по доставлению различных птиц"" ."	полная	оригинал	рукопись	1911 июня 19			
11/23/2013	scanned	37 лл.	1084	10141		262	946	of-10141-262	4.1.А*	"Котс А.Ф. Письмо Заборовской Инне Викторовне /Якутск, музей/ - выражения соболезнования по поводу смерти её дочери . /Автобиографические сведения о Котса/."	полная	копия	машинопись	б/г			
11/23/2013	scanned		1087	10621		14	947	eh-947	4.1.А	"Несмеянова-Завадовская Е.Г. - жена Б.М.Завадовского . Письмо супругам Котс с просьбой принять в подарок книгу ее супруга, написанную в 1925 г. - ""Животное и растение"" ."	полная	оригинал	машинопись	1956 мая 25			
11/23/2013	scanned		1085	12497		478	947	eh-947	4.1.А*	"Завадовский - профессор . Письмо Котсу с просьбой ""разрешить воспользоваться несколькими /10-15/ фотографиями, помещёнными в книге Котса ""Жизнь животных"", для издания книги о Моск. Зоосаде""."	полная	оригинал	машинопись	1924 декабря 18			
11/23/2013	scanned		1086		2116	259	947	eh-947	4.1.А	Котс А.Ф. Письмо проф. Завадовскому Борису Михайловичу - директору ГБМ им. К.А.Тимирязева - поздравление ко дню 25-летия Биомузея им. К.А.Тимирязева.	полная	копия	машинопись	1947мая 9			
7/6/2014	scanned		1089	10141		443	948	eh-948	4.1.А	"Завадский Александр Михайлович (Ташкент, Таджикский институт). Письмо Котсу с просьбой дать возможность сотруднику Педагогического института из Ташкента ""ознакомиться со схемой эволюционного древа и с отделом генетики""."	полная	оригинал	рукопись	1938 мая 19			
7/6/2014	scanned		1090	12497		935	948	eh-948	4.1.А	"Завадский Александр Михайлович (Самарканд, Университет, Зоолог. кабинет). Письмо Котсу о своем отъезде из Ашхабада в Самарканд и желании организовать там Дарвин. музей; о материалах (шкуры шакалов, волков и др.), которые он собирает для будущего музея ."	полная	оригинал	рукопись	[1930-ые]			
7/6/2014	scanned		1088		2116	586	948	eh-948	4.1.А*	"Завадский Александр Михайлович - проф., г.Ашхабад. Письмо Котсу с просьбой оказать содействие в деле создания в Туркмении Дарвиновского музея (рекомендовать препаратора, приобрести дубликаты коллекций,заказать портреты, фото)."	полная	оригинал	рукопись	1932 декабря 22	"на листе надпись - ""ответ 14/I"""		
2/9/2015	scanned		1091	12497		938	949	of-12497-938	4.1.А*	"Зверев Максим Дмитриевич, Алма-Ата . Письмо А.Ф.Котсу по вопросу отправленного в ДМ Барана-гибрида Архаро-мериноса из городского зоопарка; о возм. послать в дальнейшем музею шкуры гидридов и др."	полная	оригинал	машинопись	1955 декабря 30			
2/9/2015	scanned		1092	12497		477	950	of-12497-477	4.1.А*	"Котс А.Ф. Письмо Звериной (ТАСС) с уведомлением об отправке материалов, касающихся написания статьи ."	полная	копия	машинопись	б/г			
2/9/2015	scanned		1093	12497		476	951	of-12497-476	4.1.А*	"Котс А.Ф. Письмо Александру Михайловичу Згуриди с просьбой принять чету Котс ""по очень срочному и волнующему их делу""."	полная	копия	машинопись	1948 июля 12			
2/9/2015	scanned		1095		2116	258	952	eh-952	4.1.А	Котс А.Ф. Письмо академику Зелинскому Николаю Дмитриевичу (президенту МОИП) - с признательностью за годы знакомства с ним и некоторое участие в судьбе Котса .	полная	копия	машинопись	б/г + [1940-ые]	приведены некоторые биограф. данные Котса		
2/9/2015	scanned		1094		2116	344	952	eh-952	4.1.А*	Котс А.Ф. Письмо Нине Евгеньевне Зелинской - жене академика Н.Д.Зелинского . Письмо с благодарностью за поздравления к 70-летию и воспом. о Николае Дмитриевиче .	полная	копия	машинопись	1955 апреля 21			
2/9/2015	scanned		1096	12497		475	953	of-12497-475	4.1.А*	"Котс А.Ф. Письмо Татьяне Михайловне Зуевой с просьбой рассмотреть ""обширное собрание отзывов о ДМ"" (что связано с заботами Котса о судьбе музея)."	полная	копия	машинопись	1950 марта 15			
4/19/2014	scanned		1099	12497		470	954	eh-954	4.1.А	Котс А.Ф. Письмо Иваницкому Ивану Петровичу - [Музейное Управление Комитета по делам Культпросветучреждений при СМ СССР] о невозможности принятии участия в заседании Института по состоянию здоровья .	полная	копия	машинопись	1948 мая 28			
4/19/2014	scanned		1097	12497		471	954	eh-954	4.1.А*	"Котс А.Ф. Письмо Иваницкому Ивану Петровичу - [Музейное Управление Комитета по делам Культпросветучреждений при СМ СССР] о переработке ""Плана""."	полная	копия	машинопись	1947 августа 25			
4/19/2014	scanned		1098	12497		472	954	eh-954	4.1.А	Котс А.Ф. Письмо Иваницкому Ивану Петровичу - [Музейное Управление Комитета по делам Культпросветучреждений при СМ СССР] по поводу печатания первой части трудов Котса .	полная	оригинал	машинопись	1948 января 30			
4/19/2014	scanned		1101	12497		473	954	eh-954	4.1.А	Котс А.Ф. Письмо Иваницкому Ивану Петровичу - [Музейное Управление Комитета по делам Культпросветучреждений при СМ СССР] с уведомлением об отправке двух своих рецензий на работы проф. Крыжановского и А.Шиманюка .	полная	копия	машинопись	б/г			
4/19/2014	scanned		1100	12497		474	954	eh-954	4.1.А	"Котс А.Ф. Письмо Иваницкому Ивану Петровичу - [Музейное Управление Комитета по делам Культпросветучреждений при СМ СССР]о ""Гамлетовском"" объекте ."	полная	копия	машинопись	1948 декабря 5	2 экз.		
4/19/2014	scanned		1102		2116	652	955	nvf-2116-652	4.1.А*	"Котс А.Ф. Письмо Иванову Кузьме Ивановичу- проректору, председателю Приёмной Комиссии МГУ с просьбой ""посодействовать пересмотру дела Н.М.Карпышевой о зачислении её на I-ый курс Биолого-почвенного факультета МГУ""."	полная	копия	машинопись	б/г			
4/19/2014	scanned	3 лл.	1103	10141		108	956	eh-956	4.1.А*	"Котс А.Ф. Письмо Иванову Николаю Афанасьевичу - нач-ку Управления по Заповедникам при СМ Туркменской ССР, с просьбой ""не отказать в предоставлении ДМузею одного экземпляра (шкуры и скелета) кулана ...""."	полная	копия	машинопись	[1946]			
4/19/2014	scanned	1 л.	1104	10141		198	956	eh-956	4.1.А	"Котс А.Ф. Письмо Иванову Николаю Афанасьевичу - нач-ку Управления по Заповедникам при СМ Туркменской ССР, с уведомлением об отказе купить ранее запрашиваемые шкуру и скелет кулана, в связи с неподходящими для ГДМ условиями договора ."	полная	копия	машинопись	[кон.1940-х]			
2/9/2015	scanned		1105	12497		642	957	of-12497-642	4.1.А*	"Ганс Хр. Иогансен , Университет, Зоологический музей, Томск . Письмо А.Ф.Котсу относительно подбора материала по сусликам, суркам и др. (рябчики, вороны, белки); по вопросу выставки по эвол. учению для Зоол. музея ."	полная	оригинал	рукопись	1933 декабря 11	водяные знаки		
