"id","collection","dc.contributor.author[en]","dc.contributor.author[ru]","dc.creator[en]","dc.creator[ru]","dc.date.created","dc.description[ru]","dc.identifier.other[en]","dc.identifier.other[ru]","dc.language.iso[en]","dc.publisher[en]","dc.publisher[ru]","dc.subject[en]","dc.subject[ru]","dc.title[ru]","dc.type[en]","sdm-archive.date.cataloged","sdm-archive.date.digitized","sdm-archive.date.textExtracted","sdm-archive.misc.archive-date","sdm-archive.misc.authenticity","sdm-archive.misc.classification-code","sdm-archive.misc.classification-group","sdm-archive.misc.completeness","sdm-archive.misc.document-type","sdm-archive.misc.fond","sdm-archive.misc.inventoryGroup","sdm-archive.misc.notes","sdm-archive.misc.storageItem"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1944 нояб.25","ОФ-10141/97 Рецензия на работу Н.В. Виноградова : ""О предшественниках Дарвина и первых дарвинистах России"" (представленной в качестве диссертации на учёную степень кандидата биологических наук). Время создания: 1944 нояб.25. Полнота: полная. Подлинность: копия. Способ воспроизведения: машинопись. Примечания: Т. V.","Storage item 453 (inventory by Novikova N.A.)","Место хранения 453 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Рецензия на работу Н.В. Виноградова : ""О предшественниках Дарвина и первых дарвинистах России"" (представленной в качестве диссертации на учёную степень кандидата биологических наук)","Text","2016-02-12","2012-05-29","2015-07-21","июнь 1998 г.","копия","1.5","Рецензии и отзывы о работе других лиц, некрологи","полная","машинопись","ОФ-10141","Novikova","Т. V","453"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1945 окт.25","ОФ-12430/94 ""Памяти проф. М.А. Мензбира (к 10-летию со дня смерти)"". Речь на объединённом заседании МОИП, АН СССР и МГУ 25 октября 1945 года. Время создания: 1945 окт.25. Полнота: полная. Подлинность: копия. Способ воспроизведения: машинопись. Примечания: Т. V; 1 экз.основной + 1 экз.,редакция, 26 лл.","Storage item 454 (inventory by Novikova N.A.)","Место хранения 454 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","""Памяти проф. М.А. Мензбира (к 10-летию со дня смерти)"". Речь на объединённом заседании МОИП, АН СССР и МГУ 25 октября 1945 года","Text","2016-02-12","2012-04-03","","июнь 1998 г.","копия","1.5","Рецензии и отзывы о работе других лиц, некрологи","полная","машинопись","ОФ-12430","Novikova","Т. V; 1 экз.основной + 1 экз.,редакция, 26 лл.","454"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1947 февраля 10","ОФ-10141/23 Отзыв ""О брошюре проф. Н.Н. Плавильщикова : ""О научно- просветительной пропаганде в краеведческих музеях"". Время создания: 1947 февраля 10. Полнота: полная. Подлинность: оригинал. Способ воспроизведения: машинопись. Примечания: Т. I; 1 экз.основной + 2 экз.,дубликаты по 4 лл. в каждом экз.","Storage item 455 (inventory by Novikova N.A.)","Место хранения 455 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Отзыв ""О брошюре проф. Н.Н. Плавильщикова : ""О научно- просветительной пропаганде в краеведческих музеях""","Text","2016-02-12","2012-03-27","2013-12-14","июнь 1998 г.","оригинал","1.5||1.4","Рецензии и отзывы о работе других лиц, некрологи||Работы по музееведению","полная","машинопись","ОФ-10141","Novikova","Т. I; 1 экз.основной + 2 экз.,дубликаты по 4 лл. в каждом экз.","455"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1947 янв.25","ОФ-10141/22 Отзыв ""О работе проф. А.А. Яковлева : ""Экспозиция почвы в краеведческом музее"". /Издание НИИ Краев. и Муз. работы/"". Время создания: 1947 янв.25. Полнота: полная. Подлинность: оригинал. Способ воспроизведения: машинопись. Примечания: Т. I; 1 экз.основной + 2 экз.,дубликаты по 4 лл. в каждом экз.","Storage item 456 (inventory by Novikova N.A.)","Место хранения 456 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Отзыв ""О работе проф. А.А. Яковлева : ""Экспозиция почвы в краеведческом музее"". /Издание НИИ Краев. и Муз. работы/""","Text","2016-02-12","2012-04-02||2012-03-27","","июнь 1998 г.","оригинал","1.5||1.4","Рецензии и отзывы о работе других лиц, некрологи||Работы по музееведению","полная","машинопись","ОФ-10141","Novikova","Т. I; 1 экз.основной + 2 экз.,дубликаты по 4 лл. в каждом экз.","456"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1947 февр.22","ОФ-10141/31 Отзыв ""О рукописи А.Н. Шиманюка : ""Краткое руководство для ведения фенологических наблюдений"". - М., 1946"". Время создания: 1947 февр.22. Полнота: полная. Подлинность: копия. Способ воспроизведения: машинопись. Примечания: Т. I.","Storage item 457 (inventory by Novikova N.A.)","Место хранения 457 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Отзыв ""О рукописи А.Н. Шиманюка : ""Краткое руководство для ведения фенологических наблюдений"". - М., 1946""","Text","2016-02-12","2012-05-22","","июнь 1998 г.","копия","1.5","Рецензии и отзывы о работе других лиц, некрологи","полная","машинопись","ОФ-10141","Novikova","Т. I","457"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1947 февр.9","ОФ-10141/24 Отзыв ""О книге проф. Н.Н. Плавильщикова : ""Пропаганда Дарвинизма"" в экспозиции краеведческих музеев"". /Издание НИИ Краев. и Муз. работы. М., 1946 г./"". Время создания: 1947 февр.9. Полнота: полная. Подлинность: оригинал. Способ воспроизведения: машинопись. Примечания: Т. I; 1 экз.основной + 2 экз.,дубликаты по 9 лл. в каждом экз.","Storage item 458 (inventory by Novikova N.A.)","Место хранения 458 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Отзыв ""О книге проф. Н.Н. Плавильщикова : ""Пропаганда Дарвинизма"" в экспозиции краеведческих музеев"". /Издание НИИ Краев. и Муз. работы. М., 1946 г./""","Text","2016-02-12","2012-03-27","","июнь 1998 г.","оригинал","1.5||1.4","Рецензии и отзывы о работе других лиц, некрологи||Работы по музееведению","полная","машинопись","ОФ-10141","Novikova","Т. I; 1 экз.основной + 2 экз.,дубликаты по 9 лл. в каждом экз.","458"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1947 февраль","ОФ-10141/27 Отзыв ""О брошюре А.Д. Маневского : ""Основные вопросы музейно-краеведческого дела"". /Издание НИИ Краев. и Муз. работы. М., 1943 г./"". Время создания: 1947 февраль. Полнота: полная. Подлинность: копия. Способ воспроизведения: машинопись. Примечания: Т. I; 1 экз.основной + 1 экз.,дубликат, 10 лл.","Storage item 459 (inventory by Novikova N.A.)","Место хранения 459 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Отзыв ""О брошюре А.Д. Маневского : ""Основные вопросы музейно-краеведческого дела"". /Издание НИИ Краев. и Муз. работы. М., 1943 г./""","Text","2016-02-12","2012-05-15","","июнь 1998 г.","копия","1.5||1.4","Рецензии и отзывы о работе других лиц, некрологи||Работы по музееведению","полная","машинопись","ОФ-10141","Novikova","Т. I; 1 экз.основной + 1 экз.,дубликат, 10 лл.","459"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1947 февраль","ОФ-10141/29 Отзыв ""О работе А.Г. Гиллера : ""Экспозиция растительности в краеведческом музее"". /Издание НИИ Краев. и Муз. работы/. Время создания: 1947 февраль. Полнота: полная. Подлинность: копия. Способ воспроизведения: машинопись. Примечания: Т. I; 1 экз.основной + 1 экз.,дубликат, 10 лл. /оригинал/.","Storage item 460 (inventory by Novikova N.A.)","Место хранения 460 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Отзыв ""О работе А.Г. Гиллера : ""Экспозиция растительности в краеведческом музее"". /Издание НИИ Краев. и Муз. работы/","Text","2016-02-12","2012-05-15","","июнь 1998 г.","копия","1.5||1.4","Рецензии и отзывы о работе других лиц, некрологи||Работы по музееведению","полная","машинопись","ОФ-10141","Novikova","Т. I; 1 экз.основной + 1 экз.,дубликат, 10 лл. /оригинал/","460"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1947 февраль","ОФ-10141/30 Отзыв ""О брошюре проф. В.И. Крыжановского : ""Опыт музейного показа минералогических коллекций в Геологическом музее им. А.П. Карпинского АН СССР"". Время создания: 1947 февраль. Полнота: полная. Подлинность: оригинал. Способ воспроизведения: машинопись. Примечания: Т. I.","Storage item 461 (inventory by Novikova N.A.)","Место хранения 461 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Отзыв ""О брошюре проф. В.И. Крыжановского : ""Опыт музейного показа минералогических коллекций в Геологическом музее им. А.П. Карпинского АН СССР""","Text","2016-02-12","2012-05-22","","июнь 1998 г.","оригинал","1.5||1.4","Рецензии и отзывы о работе других лиц, некрологи||Работы по музееведению","полная","машинопись","ОФ-10141","Novikova","Т. I","461"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1947 марта 12","ОФ-10141/25 Методологический разбор брошюры : Н.Н. Плавильщиков, А.А. Яковлев, А.Г. Гиллер ""Экспозиция отделов природы краеведческих музеев"". Время создания: 1947 марта 12. Полнота: полная. Подлинность: оригинал. Способ воспроизведения: машинопись. Примечания: Т. I; 1 экз.основной + 2 экз.,дубликаты по 12 лл. в каждом экз.","Storage item 462 (inventory by Novikova N.A.)","Место хранения 462 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Методологический разбор брошюры : Н.Н. Плавильщиков, А.А. Яковлев, А.Г. Гиллер ""Экспозиция отделов природы краеведческих музеев""","Text","2016-02-12","2012-01-31","","июнь 1998 г.","оригинал","1.5||1.4","Рецензии и отзывы о работе других лиц, некрологи||Работы по музееведению","полная","машинопись","ОФ-10141","Novikova","Т. I; 1 экз.основной + 2 экз.,дубликаты по 12 лл. в каждом экз.","462"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1947 март","НВФ-6912/20 Отзыв о Елене Дмитриевне Ильиной (специалист в области пушного звероводства). Время создания: 1947 март. Полнота: полная. Подлинность: копия. Способ воспроизведения: машинопись.","Storage item 463 (inventory by Novikova N.A.)","Место хранения 463 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Отзыв о Елене Дмитриевне Ильиной (специалист в области пушного звероводства)","Text","2016-02-12","2013-06-28","","июнь 1998 г.","копия","1.5","Рецензии и отзывы о работе других лиц, некрологи","полная","машинопись","НВФ-6912","Novikova","","463"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1948 февр.19","ОФ-10141/98;200 Отзыв ""О диссертации К.К. Флёрова ""Монографическое описание оленевых"".+ Тезисы к диссертации К.К.Флёрова. + Приглашение на имя Котса на заседание Уч.Совета, где состоится защита диссертации. Время создания: 1948 февр.19. Полнота: полная. Подлинность: оригинал+копия. Способ воспроизведения: машинопись. Примечания: Т. V.","Storage item 464 (inventory by Novikova N.A.)","Место хранения 464 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Отзыв ""О диссертации К.К. Флёрова ""Монографическое описание оленевых"".+ Тезисы к диссертации К.К.Флёрова. + Приглашение на имя Котса на заседание Уч.Совета, где состоится защита диссертации","Text","2016-02-12","2012-06-05","2013-06-10","июнь 1998 г.","оригинал+копия","1.5","Рецензии и отзывы о работе других лиц, некрологи","полная","машинопись","ОФ-10141","Novikova","Т. V","464"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1948 февраль","ОФ-10141/99 Выступление на диспуте о диссертации К.К. Флёрова. Время создания: 1948 февраль. Полнота: неполная. Подлинность: копия. Способ воспроизведения: машинопись. Примечания: Т.V.","Storage item 465 (inventory by Novikova N.A.)","Место хранения 465 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Выступление на диспуте о диссертации К.К. Флёрова","Text","2016-02-12","2012-06-05","","июнь 1998 г.","копия","1.5","Рецензии и отзывы о работе других лиц, некрологи","неполная","машинопись","ОФ-10141","Novikova","Т.V","465"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","нач. 1950-х","ОФ-10141/21 Отзыв ""О книге Н.Н. Плавильщикова и И.В. Кузнецова : Руководство ""Собирание и изготовление зоологических коллекций"" /Гос. из-во культуры; просветит. лит-ры/ М., 1950"". Время создания: нач. 1950-х. Полнота: полная. Подлинность: копия. Способ воспроизведения: машинопись. Примечания: Т. I; 1 экз.основной + 1 экз.,дубликат, 4 лл.","Storage item 466 (inventory by Novikova N.A.)","Место хранения 466 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Отзыв ""О книге Н.Н. Плавильщикова и И.В. Кузнецова : Руководство ""Собирание и изготовление зоологических коллекций"" /Гос. из-во культуры; просветит. лит-ры/ М., 1950""","Text","2016-02-12","2012-01-31","","июнь 1998 г.","копия","1.5","Рецензии и отзывы о работе других лиц, некрологи","полная","машинопись","ОФ-10141","Novikova","Т. I; 1 экз.основной + 1 экз.,дубликат, 4 лл.","466"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1954 окт.15","ОФ-10141/28 Отзыв ""О книге ""Птицы Советского Союза"" под общей ред. Г.П. Дементьева и Н.А. Гладкова в шести томах (1951-1954) Гос. изд-во ""Советская наука"". Время создания: 1954 окт.15. Полнота: полная. Подлинность: копия. Способ воспроизведения: машинопись. Примечания: Т. I; 1 экз.основной + 1 экз.,дубликат, 11 лл.","Storage item 467 (inventory by Novikova N.A.)","Место хранения 467 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Отзыв ""О книге ""Птицы Советского Союза"" под общей ред. Г.П. Дементьева и Н.А. Гладкова в шести томах (1951-1954) Гос. изд-во ""Советская наука""","Text","2016-02-12","2012-05-15","","июнь 1998 г.","копия","1.5","Рецензии и отзывы о работе других лиц, некрологи","полная","машинопись","ОФ-10141","Novikova","Т. I; 1 экз.основной + 1 экз.,дубликат, 11 лл.","467"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1955","ОФ-10141/33;226;238 Отзыв ""О книге М.Сизовой ""Михайло Ломоносов"" и о критике её в ""Литературной газете"" от 21 мая 1955 года за ном. 60"". + Переписка Котса с редакциями моск-х газет по поводу отзыва о книге М.Сизовой, /4 лл./. Время создания: 1955. Полнота: полная. Подлинность: копия. Способ воспроизведения: машинопись. Примечания: Т. I.","Storage item 468 (inventory by Novikova N.A.)","Место хранения 468 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Отзыв ""О книге М.Сизовой ""Михайло Ломоносов"" и о критике её в ""Литературной газете"" от 21 мая 1955 года за ном. 60"". + Переписка Котса с редакциями моск-х газет по поводу отзыва о книге М.Сизовой, /4 лл./","Text","2016-02-12","2012-06-05","","июнь 1998 г.","копия","1.5","Рецензии и отзывы о работе других лиц, некрологи","полная","машинопись","ОФ-10141","Novikova","Т. I","468"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","б/г","НВФ-6912/21 Отзыв о работе сотрудника Моск. Зоолог. сада (в нач. 1920-х) Ефиме Васильевиче Щеглове. Время создания: б/г. Полнота: полная. Подлинность: копия. Способ воспроизведения: машинопись.","Storage item 469 (inventory by Novikova N.A.)","Место хранения 469 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Отзыв о работе сотрудника Моск. Зоолог. сада (в нач. 1920-х) Ефиме Васильевиче Щеглове","Text","2016-02-12","2013-04-01","","июнь 1998 г.","копия","1.5","Рецензии и отзывы о работе других лиц, некрологи","полная","машинопись","НВФ-6912","Novikova","","469"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","б/г","ОФ-10141/537 Перечень печатных работ Н.А. Бобринского. Важнейшие даты его жизни. Время создания: б/г. Полнота: полная. Подлинность: оригинал. Способ воспроизведения: рукопись+машиноп.","Storage item 470 (inventory by Novikova N.A.)","Место хранения 470 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Перечень печатных работ Н.А. Бобринского. Важнейшие даты его жизни","Text","2016-02-12","2012-04-10","","июнь 1998 г.","оригинал","1.5","Рецензии и отзывы о работе других лиц, некрологи","полная","рукопись+машиноп.","ОФ-10141","Novikova","","470"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","до 1937","ОФ-10141/538 ""Памяти учителя"". Статья о Михаиле Александровиче Мензбире. Время создания: до 1937. Полнота: неполная. Подлинность: копия. Способ воспроизведения: машинопись. Примечания: черновик; 1 экз.основной + 1 экз.,редакция, неполная, 16 лл.","Storage item 471 (inventory by Novikova N.A.)","Место хранения 471 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","""Памяти учителя"". Статья о Михаиле Александровиче Мензбире","Text","2016-02-12","2012-12-18","","июнь 1998 г.","копия","1.5","Рецензии и отзывы о работе других лиц, некрологи","неполная","машинопись","ОФ-10141","Novikova","черновик; 1 экз.основной + 1 экз.,редакция, неполная, 16 лл.","471"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","2п. 1940-х","ОФ-10141/26 ""О задачах, содержании и методике отделов природы краевед-х музеев в отсвете критики литературных данных"". Очерк. (Критический анализ 7 брошюр,авторы кот-х: Пла- вильщиков, Яковлев, Гиллер, Крыжановский, Маневский). Время создания: 2п. 1940-х. Полнота: полная. Подлинность: оригинал. Способ воспроизведения: машинопись. Примечания: Т. I; 1 экз.основной + 1 экз.,дубликат, 30 лл.","Storage item 472 (inventory by Novikova N.A.)","Место хранения 472 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","""О задачах, содержании и методике отделов природы краевед-х музеев в отсвете критики литературных данных"". Очерк. (Критический анализ 7 брошюр,авторы кот-х: Пла- вильщиков, Яковлев, Гиллер, Крыжановский, Маневский)","Text","2016-02-12","2012-02-14||2013-04-29","2012-03-13","июнь 1998 г.","оригинал","1.5||1.4","Рецензии и отзывы о работе других лиц, некрологи||Работы по музееведению","полная","машинопись","ОФ-10141","Novikova","Т. I; 1 экз.основной + 1 экз.,дубликат, 30 лл.","472"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1960 апреля 12||1960 апр.12","НВФ-2116/491;492 ""К биографии Н.А. Бобринского"". /Страницы жизни/. Печатная копия очерка. Время создания: 1960 апреля 12. Полнота: полная. Подлинность: копия. Способ воспроизведения: машинопись. Примечания: перепечатка.||ОФ-10141/111 ""К биографии Н.А. Бобринского"". /Страницы жизни/. Очерк. Время создания: 1960 апр.12. Подлинность: оригинал. Примечания: Т. V; 1 экз.основной + 1 экз.,дубликат, 19 лл.","Storage item 473 (inventory by Novikova N.A.)","Место хранения 473 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","""К биографии Н.А. Бобринского"". /Страницы жизни/","Text","2016-02-12","2012-03-06","2013-02-04","июнь 1998 г.","копия||оригинал","1.5","Рецензии и отзывы о работе других лиц, некрологи","полная","машинопись","НВФ-2116||ОФ-10141","Novikova","перепечатка||Т. V; 1 экз.основной + 1 экз.,дубликат, 19 лл.","473"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","б/г","НВФ-6912/22 Отзыв ""О ""Песковском"" питомнике Засл. деятеля искусств Алексея Никаноровича Комарова и Наталии Александровны Вальтер"". Время создания: б/г. Полнота: полная. Подлинность: копия. Способ воспроизведения: машинопись.","Storage item 474 (inventory by Novikova N.A.)","Место хранения 474 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Отзыв ""О ""Песковском"" питомнике Засл. деятеля искусств Алексея Никаноровича Комарова и Наталии Александровны Вальтер""","Text","2016-02-12","2013-07-25","","июнь 1998 г.","копия","1.5","Рецензии и отзывы о работе других лиц, некрологи","полная","машинопись","НВФ-6912","Novikova","","474"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1952 янв.25","ОФ-10141/597 Докладная записка участника заседания Реставрац-го Совета Выставки Подарков И.В. Сталину 25 января 1952 года, проф. А.Ф. Котс. Время создания: 1952 янв.25. Полнота: полная. Подлинность: копия. Способ воспроизведения: машинопись.","Storage item 475 (inventory by Novikova N.A.)","Место хранения 475 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Докладная записка участника заседания Реставрац-го Совета Выставки Подарков И.В. Сталину 25 января 1952 года, проф. А.Ф. Котс","Text","2016-02-12","2013-01-29","","июнь 1998 г.","копия","1.5","Рецензии и отзывы о работе других лиц, некрологи","полная","машинопись","ОФ-10141","Novikova","","475"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","б/г","НВФ-6912/23 Отзыв о работе лаборантки ГДМ в Москве, студентки Биолого-почвенного факультета II-го курса МГУ Инны Евгениевны Чернеевой. /Для вручения декану Биолого-почвенного факультета МГУ/. Время создания: б/г. Полнота: полная. Подлинность: копия. Способ воспроизведения: машинопись.","Storage item 476 (inventory by Novikova N.A.)","Место хранения 476 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Отзыв о работе лаборантки ГДМ в Москве, студентки Биолого-почвенного факультета II-го курса МГУ Инны Евгениевны Чернеевой. /Для вручения декану Биолого-почвенного факультета МГУ/","Text","2016-02-12","2013-07-18","","июнь 1998 г.","копия","1.5","Рецензии и отзывы о работе других лиц, некрологи","полная","машинопись","НВФ-6912","Novikova","","476"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1929","ОФ-12497/632 Заявление и ходатайство А.Ф. Котса по вопросу поступления П.Рихтера в МГУ в 1928-1929 гг. (в ДМ привлекался к занятиям по разборке и определению коллекций, работе в экспозиц. залах и др.). Время создания: 1929. Полнота: полная. Подлинность: копия. Способ воспроизведения: машинопись. Примечания: в документе краткие справки о Формозове и Кондакове.","Storage item 477 (inventory by Novikova N.A.)","Место хранения 477 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Заявление и ходатайство А.Ф. Котса по вопросу поступления П.Рихтера в МГУ в 1928-1929 гг. (в ДМ привлекался к занятиям по разборке и определению коллекций, работе в экспозиц. залах и др.)","Text","2016-02-12","2012-06-05","","июнь 1998 г.","копия","1.5","Рецензии и отзывы о работе других лиц, некрологи","полная","машинопись","ОФ-12497","Novikova","в документе краткие справки о Формозове и Кондакове","477"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","2 пол. 1940-х","ОФ-12497/631 Ходатайство А.Ф. Котса по вопросу возвращения из эвакуации (из Ашхабада) проф. МГУ - Дементьева Г.П. Время создания: 2 пол. 1940-х. Полнота: полная. Подлинность: копия. Способ воспроизведения: машинопись. Примечания: 2 экз.;черновики, правки в тексте.","Storage item 478 (inventory by Novikova N.A.)","Место хранения 478 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Ходатайство А.Ф. Котса по вопросу возвращения из эвакуации (из Ашхабада) проф. МГУ - Дементьева Г.П","Text","2016-02-12","2013-01-30","","июнь 1998 г.","копия","1.5","Рецензии и отзывы о работе других лиц, некрологи","полная","машинопись","ОФ-12497","Novikova","2 экз.;черновики, правки в тексте","478"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","б/г","ОФ-12497/630 Отзыв о проф. Г.П. Дементьеве и его исследовании хищных птиц. Время создания: б/г. Полнота: полная. Подлинность: копия. Способ воспроизведения: машинопись.","Storage item 479 (inventory by Novikova N.A.)","Место хранения 479 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Отзыв о проф. Г.П. Дементьеве и его исследовании хищных птиц","Text","2016-02-12","2013-01-30","","июнь 1998 г.","копия","1.5","Рецензии и отзывы о работе других лиц, некрологи","полная","машинопись","ОФ-12497","Novikova","","479"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1907 мая 29","ОФ-12430/95 Счёт Магазина учебных пособий по естествознанию и естественнонаучных коллекций Wilh. Schluter (Вильгельма Шлютера), (Галле,Германия) Институту Сравнительной Анатомии II-го МГУ. Время создания: 1907 мая 29. Полнота: полная. Подлинность: оригинал. Способ воспроизведения: рукопись. Примечания: нем. яз.","Storage item 480 (inventory by Novikova N.A.)","Место хранения 480 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Счёт Магазина учебных пособий по естествознанию и естественнонаучных коллекций Wilh. Schluter (Вильгельма Шлютера), (Галле,Германия) Институту Сравнительной Анатомии II-го МГУ","Text","2016-02-12","2013-06-28","","июнь 1998 г.","оригинал","2.1A","Документы по формированию коллекций музея (счета, договоры, уведомления, накладные и т.п.)","полная","рукопись","ОФ-12430","Novikova","нем. яз.","480"
